【壹】TK待執行清單 20140115-shin.txt
     （備注：共 224部。「+ 」號，shin 於 2025年5月16日已移除）
 
 *****************************
 TK作業清單 20140115 for shin
  # 行首有 + 號者表示過去已經處理完成，Shin 不用再處理。
  # 行首有 S 號者表示交給 Shin  執行的新一波作業。共 422 經 1122 卷。
  ─────────────────────────────────────
  大正            高麗          卷
  經號---冊-頁    經號------冊  數 經名(卷數)【朝代 作譯者】
  ───────  ──────  ─ ────────────────────
S T1147--20-p0604 K1106-----33   1 聖虛空藏菩薩陀羅尼經(1卷)【宋 法天譯】
S T1148--20-p0607 K1230(05)-34   1 佛說虛空藏菩薩陀羅尼(1卷)【宋 法賢譯】
S T1151--20-p0610 K1371-----37   1 修習般若波羅蜜菩薩觀行念誦儀軌(1卷)【唐 不空譯】
S T1152--20-p0614 K1436-----40   1 佛說佛母般若波羅蜜多大明觀想儀軌(1卷)【宋 施護譯】
S T1153--20-p0616 K1349-----37   2 普遍光明清淨熾盛如意寶印心無能勝大明王大隨求陀羅尼經(2卷)【唐 不空譯】
S T1154--20-p0637 K0454-----13   1 佛說隨求即得大自在陀羅尼神[口*兄]經(1卷)【唐 寶思惟譯】
S T1157--20-p0651 K0457-----13   1 香王菩薩陀羅尼[口*兄]經(1卷)【唐 義淨譯】
S T1161--20-p0660 K0379-----12   1 佛說觀藥王藥上二菩薩經(1卷)【劉宋 [彊-弓]良耶舍譯】
S T1162--20-p0666 K0448-----13   1 持世陀羅尼經(1卷)【唐 玄奘譯】
S T1163--20-p0667 K1295-----36   1 佛說雨寶陀羅尼經(1卷)【唐 不空譯】
S T1164--20-p0669 K1094-----33   1 佛說大乘聖吉祥持世陀羅尼經(1卷)【宋 法天譯】
S T1165--20-p0672 K1125-----33   1 聖持世陀羅尼經(1卷)【宋 施護譯】
S T1167--20-p0675 K1304-----36   1 八大菩薩曼荼羅經(1卷)【唐 不空譯】
S T1168A-20-p0676 K1215-----34   1 佛說大乘八大曼拏羅經(1卷)【宋 法賢譯】
S T1169--20-p0677 K1213-----34   4 佛說持明藏瑜伽大教尊那菩薩大明成就儀軌經(4卷)【宋 法賢譯】
S T1170--20-p0691 K1207-----34   3 佛說金剛香菩薩大明成就儀軌經(3卷)【宋 施護譯】
S T1171--20-p0705 K1280-----36   1 金剛頂經瑜伽文殊師利菩薩法(1卷)【唐 不空譯】
S T1172--20-p0709 K1350-----37   1 金剛頂超勝三界經說文殊五字真言勝相(1卷)【唐 不空譯】
S T1173--20-p0710 K0465-----13   1 金剛頂經曼殊室利菩薩五字心陀羅尼品(1卷)【唐 金剛智譯】
S T1174--20-p0713 K1345-----37   1 五字陀羅尼頌(1卷)【唐 不空譯】
S T1175--20-p0716 K1363-----37   1 金剛頂經瑜伽文殊師利菩薩供養儀軌(1卷)【唐 不空譯】
S T1176--20-p0723 K1365-----37   1 曼殊室利童子菩薩五字瑜伽法(1卷)【唐 不空譯】
S T1177A-20-p0724 K1272-----36  10 大乘瑜伽金剛性海曼殊室利千臂千[金*本]大教王經(10卷)【唐 不空譯】
S T1180--20-p0779 K0316-----11   1 六字神[口*兄]經(1卷)【唐 菩提流志譯】
S T1181--20-p0780 K0299-----11   1 大方廣菩薩藏經中文殊師利根本一字陀羅尼經(1卷)【唐 寶思惟譯】
S T1182--20-p0781 K0300-----11   1 曼殊室利菩薩[口*兄]藏中一字[口*兄]王經(1卷)【唐 義淨譯】
S T1185A-20-p0791 K0435-----13   1 佛說文殊師利法寶藏陀羅尼經(1卷)【唐 菩提流志譯】
S T1186--20-p0807 K1230(01)-34   1 佛說妙吉祥菩薩陀羅尼(1卷)【宋 法賢譯】
S T1187--20-p0808 K1419-----40   2 佛說最勝妙吉祥根本智最上祕密一切名義三摩地分(2卷)【宋 施護譯】
S T1191--20-p0835 K1138-----33  20 大方廣菩薩藏文殊師利根本儀軌經(20卷)【宋 天息災譯】
S T1195--20-p0936 K1330-----36   1 大聖文殊師利菩薩讚佛法身禮(1卷)【唐 不空譯】
S T1196--20-p0938 K1226-----34   1 曼殊室利菩薩吉祥伽陀(1卷)【宋 法賢譯】
S T1197--20-p0938 K1178-----34   1 佛說文殊師利一百八名梵讚(1卷)【宋 法天譯】
S T1199--21-p0001 K1376-----37   1 金剛手光明灌頂經最勝立印聖無動尊大威怒王念誦儀軌法品(1卷)【唐 不空譯】
S T1200--21-p0007 K1285-----36   1 底哩三昧耶不動尊威怒王使者念誦法(1卷)【唐 不空譯】
S T1202--21-p0023 K1271-----36   1 不動使者陀羅尼祕密法(1卷)【唐 金剛智譯】
S T1209--21-p0039 K1380-----37   1 金剛頂瑜伽降三世成就極深密門(1卷)【唐 不空譯】
S T1211--21-p0042 K1326-----36   1 甘露軍荼利菩薩供養念誦成就儀軌(1卷)【唐 不空譯】
S T1214--21-p0073 K1351(01)-37   1 聖閻曼德迦威怒王立成大神驗念誦法(1卷)【唐 不空譯】
S T1215--21-p0076 K1351(2)--37   1 大乘方廣曼殊室利菩薩華嚴本教閻曼德迦忿怒王真言大威德儀軌品(1卷)【】
S T1216--21-p0077 K1351(3)--37   1 大方廣曼殊室利童真菩薩華嚴本教讚閻曼德迦忿怒王真言阿毘遮嚕迦儀軌品(1卷)【】
S T1217--21-p0081 K1208-----34   3 佛說妙吉祥最勝根本大教經(3卷)【宋 法賢譯】
S T1222a-21-p0102 K1355-----37   3 聖迦柅忿怒金剛童子菩薩成就儀軌經(3卷)【唐 不空譯】
S T1225--21-p0135 K1356-----37   1 大威怒烏芻[澀-(刃*刃)+止]麼儀軌經(1卷)【唐 不空譯】
S T1227--21-p0142 K1266-----36   3 大威力烏樞瑟摩明王經(3卷)【唐 阿質達霰譯】
S T1228--21-p0158 K1265-----36   1 穢跡金剛說神通大滿陀羅尼法術靈要門(1卷)【唐 阿質達霰譯】
S T1229--21-p0159 K1264-----36   1 穢跡金剛禁百變法經(1卷)【唐 阿質達霰譯】
S T1233--21-p0171 K1110-----33   1 佛說無能勝大明王陀羅尼經(1卷)【宋 法天譯】
S T1234--21-p0173 K1136-----33   1 無能勝大明陀羅尼經(1卷)【宋 法天譯】
S T1235--21-p0176 K1130-----33   1 無能勝大明心陀羅尼經(1卷)【宋 法天譯】
S T1236--21-p0176 K1157-----34   1 聖無能勝金剛火陀羅尼經(1卷)【宋 法天譯】
S T1237--21-p0178 K0442-----13   1 阿吒婆拘鬼神大將上佛陀羅尼神[口*兄]經(1卷)【失譯】
S T1242--21-p0203 K1214-----34   1 佛說妙吉祥瑜伽大教金剛陪囉[口*縛]輪觀想成就儀軌經(1卷)【宋 法賢譯】
S T1243--21-p0207 K1097-----33   2 佛說出生一切如來法眼遍照大力明王經(2卷)【宋 法護譯】
S T1244--21-p0215 K1307-----36   1 毘沙門天王經(1卷)【唐 不空譯】
S T1245--21-p0217 K1185-----34   1 佛說毘沙門天王經(1卷)【宋 法天譯】
S T1252a-21-p0252 K1288-----36   1 佛說大吉祥天女十二名號經(1卷)【唐 不空譯】
S T1253--21-p0253 K1284-----36   1 大吉祥天女十二契一百八名無垢大乘經(1卷)【唐 不空譯】
S T1254--21-p0255 K1377-----37   1 末利支提婆華鬘經(1卷)【唐 不空譯】
S T1255a-21-p0259 K1354-----37   1 佛說摩利支天菩薩陀羅尼經(1卷)【唐 不空譯】
S T1256--21-p0261 K0311-----11   1 佛說摩利支天陀羅尼[口*兄]經(1卷)【失譯】
S T1257--21-p0262 K1156-----34   7 佛說大摩里支菩薩經(7卷)【宋 天息災譯】
S T1260--21-p0286 K1348-----37   1 大藥叉女歡喜母并愛子成就法(1卷)【唐 不空譯】
S T1261--21-p0289 K1306-----36   1 訶利帝母真言經(1卷)【唐 不空譯】
S T1262--21-p0290 K0875-----20   1 佛說鬼子母經(1卷)【失譯】
S T1264a-21-p0292 K1296-----36   1 觀自在菩薩化身蘘麌哩曳童女銷伏毒害陀羅尼經(1卷)【唐 不空譯】
